valence,danceability,energy,tempo,acousticness,instrumentalness,speechiness,popularity,explicit
0.0594,0.279,0.211,80.954,0.982,0.878,0.0366,4,0
0.963,0.8190000000000001,0.341,60.93600000000001,0.732,0.0,0.415,5,0
0.0394,0.328,0.166,110.339,0.961,0.913,0.0339,5,0
0.165,0.275,0.309,100.109,0.967,2.77e-05,0.0354,3,0
0.253,0.418,0.193,101.665,0.957,1.68e-06,0.038,2,0
0.196,0.6970000000000001,0.346,119.824,0.579,0.168,0.07,6,0
0.406,0.518,0.203,66.221,0.996,0.0,0.0615,4,0
0.0731,0.389,0.088,92.867,0.993,0.527,0.0456,2,0
0.721,0.485,0.13,64.678,0.996,0.151,0.0483,0,0
0.7709999999999999,0.684,0.257,109.378,0.982,0.0,0.399,0,0
0.826,0.463,0.26,85.146,0.995,0.0,0.0557,0,0
0.578,0.378,0.115,70.37,0.994,0.906,0.0414,0,0
0.493,0.315,0.363,174.532,0.99,0.0,0.0546,0,0
0.212,0.415,0.42,70.758,0.912,0.89,0.114,0,0
0.493,0.527,0.691,159.935,0.0175,0.384,0.0326,0,1
0.282,0.384,0.171,107.698,0.989,0.82,0.0319,4,0
0.218,0.259,0.212,85.726,0.957,0.000222,0.0358,1,0
0.664,0.541,0.283,108.986,0.996,0.898,0.0477,0,0
0.0778,0.604,0.418,80.07300000000002,0.148,0.0382,0.0417,0,1
0.527,0.54,0.0848,100.296,0.971,0.00196,0.075,0,0
0.672,0.67,0.113,87.162,0.994,0.0,0.196,0,0
0.24,0.4,0.155,170.25099999999995,0.994,4.33e-05,0.0873,0,0
0.422,0.648,0.0995,71.97800000000002,0.995,0.846,0.105,0,0
0.381,0.223,0.245,142.136,0.995,0.8759999999999999,0.0387,0,0
0.41,0.269,0.143,141.386,0.97,0.469,0.0413,0,0
0.0731,0.389,0.088,92.867,0.993,0.527,0.0456,0,0
0.6779999999999999,0.5,0.274,79.218,0.996,0.0,0.041,0,0
0.723,0.685,0.698,133.951,0.388,1.97e-06,0.0421,0,0
0.792,0.665,0.231,129.671,0.99,0.0,0.155,0,0
0.425,0.286,0.177,167.352,0.992,0.932,0.0431,0,0
0.403,0.332,0.179,75.704,0.992,4.41e-06,0.0443,0,0
0.614,0.484,0.215,76.277,0.991,0.000546,0.106,0,0
0.185,0.233,0.00817,108.143,0.505,0.000203,0.0305,5,0
0.47,0.453,0.5589999999999999,156.077,0.7659999999999999,0.0104,0.0329,1,0
0.161,0.65,0.443,130.009,0.384,0.0,0.0334,0,0
0.7909999999999999,0.465,0.284,98.336,0.991,0.0225,0.0591,0,0
0.0608,0.37,0.196,116.65,0.975,0.945,0.0449,1,0
0.077,0.248,0.0876,82.025,0.994,0.907,0.0566,1,0
